,experiences_offered,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,neighbourhood,minimum_nights,maximum_nights
0,none,52.53454,13.402560000000001,Guesthouse,Entire home/apt,3,1.0,1.0,60.0,Mitte,4,1125
2,none,52.49885,13.34906,Apartment,Private room,1,1.0,1.0,28.0,Schöneberg,7,35
3,none,52.54316,13.41509,Apartment,Private room,2,1.0,1.0,33.0,Prenzlauer Berg,1,10
4,none,52.533030000000004,13.41605,Apartment,Entire home/apt,7,2.5,4.0,180.0,Prenzlauer Berg,6,14
7,none,52.49548000000001,13.42182,Apartment,Entire home/apt,2,1.0,0.0,49.0,Neukölln,5,90
8,none,52.53695,13.407620000000001,Loft,Entire home/apt,4,1.0,2.0,129.0,Prenzlauer Berg,3,30
10,none,52.49485,13.4285,Apartment,Entire home/apt,4,1.0,2.0,98.0,Kreuzberg,3,30
11,none,52.53435,13.405579999999999,Apartment,Entire home/apt,5,1.0,1.0,160.0,Mitte,2,24
13,none,52.53079,13.418079999999998,Apartment,Entire home/apt,4,2.5,2.0,90.0,Prenzlauer Berg,4,21
14,none,52.53026,13.41947,Apartment,Entire home/apt,4,2.5,2.0,90.0,Prenzlauer Berg,4,21
15,none,52.544059999999995,13.42138,Apartment,Entire home/apt,8,2.0,2.0,269.0,Prenzlauer Berg,3,1125
18,none,52.54597,13.422360000000001,Apartment,Entire home/apt,8,1.0,2.0,100.0,Prenzlauer Berg,4,365
19,none,52.54309,13.42245,Apartment,Private room,1,1.0,1.0,37.0,Prenzlauer Berg,1,14
20,none,52.52195,13.3559,Apartment,Entire home/apt,4,1.0,1.0,62.0,Moabit,3,1125
21,none,52.535059999999994,13.396989999999999,Loft,Private room,2,1.0,1.0,75.0,Mitte,2,28
22,none,52.51968000000001,13.30209,Apartment,Private room,1,0.0,1.0,40.0,Charlottenburg,1,21
23,none,52.49847,13.440129999999998,Apartment,Private room,3,1.5,1.0,39.0,Kreuzberg,1,21
26,none,52.488440000000004,13.4206,Loft,Private room,2,1.0,1.0,50.0,Kreuzberg,3,14
27,none,52.53641,13.41231,Apartment,Private room,2,1.0,1.0,43.0,Prenzlauer Berg,2,7
28,none,52.530280000000005,13.42348,Apartment,Private room,2,1.0,1.0,40.0,Prenzlauer Berg,1,7
29,none,52.496669999999995,13.440339999999999,Apartment,Private room,3,1.5,1.0,36.0,Kreuzberg,3,730
30,none,52.51099,13.456420000000001,Apartment,Entire home/apt,4,1.0,2.0,119.0,Friedrichshain,4,365
31,none,52.4904,13.44085,Apartment,Private room,2,1.0,1.0,42.0,Alt-Treptow,2,7
33,none,52.53219,13.41988,Apartment,Entire home/apt,6,2.0,2.0,169.0,Prenzlauer Berg,3,60
34,none,52.52264,13.3881,Apartment,Private room,2,1.0,1.0,47.0,Mitte,4,30
36,none,52.54251,13.417179999999998,Apartment,Private room,2,1.0,1.0,33.0,Prenzlauer Berg,1,10
